date,Asset,Value
10/29/2019,ADA,0.044
10/30/2019,ADA,0.0445
10/31/2019,ADA,0.04229
11/1/2019,ADA,0.04259
11/2/2019,ADA,0.04259
11/3/2019,ADA,0.04257
11/4/2019,ADA,0.04346
11/5/2019,ADA,0.0448
11/6/2019,ADA,0.04603
11/7/2019,ADA,0.04491
11/8/2019,ADA,0.04382
11/9/2019,ADA,0.04281
11/10/2019,ADA,0.04416
11/11/2019,ADA,0.044
11/12/2019,ADA,0.04456
11/13/2019,ADA,0.04394
11/14/2019,ADA,0.04342
11/15/2019,ADA,0.04452
11/16/2019,ADA,0.04478
11/17/2019,ADA,0.04592
11/18/2019,ADA,0.04624
11/19/2019,ADA,0.04345
11/20/2019,ADA,0.04236
11/21/2019,ADA,0.04111
11/22/2019,ADA,0.03866
11/23/2019,ADA,0.03836
11/24/2019,ADA,0.03869
11/25/2019,ADA,0.03734
11/26/2019,ADA,0.03717
11/27/2019,ADA,0.03992
11/28/2019,ADA,0.0398
11/29/2019,ADA,0.042
11/30/2019,ADA,0.04212
12/1/2019,ADA,0.04035
12/2/2019,ADA,0.03959
12/3/2019,ADA,0.0388
12/4/2019,ADA,0.03878
12/5/2019,ADA,0.03816
12/6/2019,ADA,0.0383
12/7/2019,ADA,0.03911
12/8/2019,ADA,0.03887
12/9/2019,ADA,0.03881
12/10/2019,ADA,0.03834
12/11/2019,ADA,0.03717
12/12/2019,ADA,0.03696
12/13/2019,ADA,0.0374
12/14/2019,ADA,0.03732
12/15/2019,ADA,0.03666
12/16/2019,ADA,0.03655
12/17/2019,ADA,0.03415
12/18/2019,ADA,0.03469
12/19/2019,ADA,0.03473
12/20/2019,ADA,0.0342
12/21/2019,ADA,0.03393
12/22/2019,ADA,0.0345
12/23/2019,ADA,0.03462
12/24/2019,ADA,0.03461
12/25/2019,ADA,0.03406
12/26/2019,ADA,0.03495
12/27/2019,ADA,0.0344
12/28/2019,ADA,0.03419
12/29/2019,ADA,0.03467
12/30/2019,ADA,0.0344
12/31/2019,ADA,0.03382
1/1/2020,ADA,0.0338
1/2/2020,ADA,0.03348
1/3/2020,ADA,0.03446
1/4/2020,ADA,0.0345
1/5/2020,ADA,0.03527
1/6/2020,ADA,0.03736
1/7/2020,ADA,0.03808
1/8/2020,ADA,0.03875
1/9/2020,ADA,0.03637
1/10/2020,ADA,0.03709
1/11/2020,ADA,0.0378
1/12/2020,ADA,0.03792
1/13/2020,ADA,0.03795
1/14/2020,ADA,0.04277
1/15/2020,ADA,0.04324
1/16/2020,ADA,0.0433
1/17/2020,ADA,0.04595
1/18/2020,ADA,0.04583
1/19/2020,ADA,0.046
1/20/2020,ADA,0.04435
1/21/2020,ADA,0.04684
1/22/2020,ADA,0.04655
1/23/2020,ADA,0.0459
1/24/2020,ADA,0.04539
1/25/2020,ADA,0.04525
1/26/2020,ADA,0.04478
1/27/2020,ADA,0.04903
1/28/2020,ADA,0.05471
1/29/2020,ADA,0.05771
1/30/2020,ADA,0.0573
1/31/2020,ADA,0.0568
2/1/2020,ADA,0.05723
2/2/2020,ADA,0.0587
2/3/2020,ADA,0.05785
2/4/2020,ADA,0.05788
2/5/2020,ADA,0.06019
2/6/2020,ADA,0.06088
2/7/2020,ADA,0.06279
2/8/2020,ADA,0.06135
2/9/2020,ADA,0.0624
2/10/2020,ADA,0.0621
2/11/2020,ADA,0.0635
2/12/2020,ADA,0.07034
2/13/2020,ADA,0.07231
2/14/2020,ADA,0.07127
2/15/2020,ADA,0.07136
2/16/2020,ADA,0.06713
2/17/2020,ADA,0.0627
2/18/2020,ADA,0.06373
2/19/2020,ADA,0.063
2/20/2020,ADA,0.05894
2/21/2020,ADA,0.06
2/22/2020,ADA,0.05909
2/23/2020,ADA,0.062
2/24/2020,ADA,0.0618
2/25/2020,ADA,0.05916
2/26/2020,ADA,0.05667
2/27/2020,ADA,0.05217
2/28/2020,ADA,0.05134
2/29/2020,ADA,0.05
3/1/2020,ADA,0.04831
3/2/2020,ADA,0.0498
3/3/2020,ADA,0.04941
3/4/2020,ADA,0.05034
3/5/2020,ADA,0.05229
3/6/2020,ADA,0.05174
3/7/2020,ADA,0.05186
3/8/2020,ADA,0.04876
3/9/2020,ADA,0.044
3/10/2020,ADA,0.04299
3/11/2020,ADA,0.04182
3/12/2020,ADA,0.03983
3/13/2020,ADA,0.02938
3/14/2020,ADA,0.0289
3/15/2020,ADA,0.02904
3/16/2020,ADA,0.02697
3/17/2020,ADA,0.0265
3/18/2020,ADA,0.02653
3/19/2020,ADA,0.03198
3/20/2020,ADA,0.03396
3/21/2020,ADA,0.03067
3/22/2020,ADA,0.03044
3/23/2020,ADA,0.02993
3/24/2020,ADA,0.03041
3/25/2020,ADA,0.03043
3/26/2020,ADA,0.03102
3/27/2020,ADA,0.03143
3/28/2020,ADA,0.02998
3/29/2020,ADA,0.02999
3/30/2020,ADA,0.03044
3/31/2020,ADA,0.03067
4/1/2020,ADA,0.03097
4/2/2020,ADA,0.03352
4/3/2020,ADA,0.03272
4/4/2020,ADA,0.03272
4/5/2020,ADA,0.03256
4/6/2020,ADA,0.03611
4/7/2020,ADA,0.03695
4/8/2020,ADA,0.03683
4/9/2020,ADA,0.0366
4/10/2020,ADA,0.0362
4/11/2020,ADA,0.0341
4/12/2020,ADA,0.03489
4/13/2020,ADA,0.03353
4/14/2020,ADA,0.03376
4/15/2020,ADA,0.0337
4/16/2020,ADA,0.035
4/17/2020,ADA,0.03494
4/18/2020,ADA,0.037
4/19/2020,ADA,0.03675
4/20/2020,ADA,0.0366
4/21/2020,ADA,0.035
4/22/2020,ADA,0.03668
4/23/2020,ADA,0.04257
4/24/2020,ADA,0.04473
4/25/2020,ADA,0.04358
4/26/2020,ADA,0.04616
4/27/2020,ADA,0.04765
4/28/2020,ADA,0.0481
4/29/2020,ADA,0.052
4/30/2020,ADA,0.05439
5/1/2020,ADA,0.05187
5/2/2020,ADA,0.05147
5/3/2020,ADA,0.05169
5/4/2020,ADA,0.05027
5/5/2020,ADA,0.0506
5/6/2020,ADA,0.05119
5/7/2020,ADA,0.05158
5/8/2020,ADA,0.05376
5/9/2020,ADA,0.05308
5/10/2020,ADA,0.05156
5/11/2020,ADA,0.05
5/12/2020,ADA,0.05118
5/13/2020,ADA,0.05227
5/14/2020,ADA,0.052
5/15/2020,ADA,0.05197
5/16/2020,ADA,0.05141
5/17/2020,ADA,0.05225
5/18/2020,ADA,0.055
5/19/2020,ADA,0.057
5/20/2020,ADA,0.0576
5/21/2020,ADA,0.0576
5/22/2020,ADA,0.057
5/23/2020,ADA,0.05648
5/24/2020,ADA,0.05616
5/25/2020,ADA,0.05434
5/26/2020,ADA,0.05417
5/27/2020,ADA,0.05595
5/28/2020,ADA,0.06766
5/29/2020,ADA,0.06667
5/30/2020,ADA,0.07748
5/31/2020,ADA,0.0865
6/1/2020,ADA,0.08306
6/2/2020,ADA,0.08248
6/3/2020,ADA,0.0861
6/4/2020,ADA,0.09039
6/5/2020,ADA,0.08914
6/6/2020,ADA,0.0873
6/7/2020,ADA,0.08867
6/8/2020,ADA,0.08695
6/9/2020,ADA,0.08678
6/10/2020,ADA,0.08399
6/11/2020,ADA,0.08512
6/12/2020,ADA,0.0809
6/13/2020,ADA,0.07959
6/14/2020,ADA,0.07918
6/15/2020,ADA,0.07984
6/16/2020,ADA,0.07978
6/17/2020,ADA,0.08398
6/18/2020,ADA,0.08454
6/19/2020,ADA,0.0819
6/20/2020,ADA,0.08023
6/21/2020,ADA,0.08099
6/22/2020,ADA,0.08396
6/23/2020,ADA,0.08445
6/24/2020,ADA,0.08723
6/25/2020,ADA,0.08351
6/26/2020,ADA,0.08181
6/27/2020,ADA,0.081
6/28/2020,ADA,0.08109
6/29/2020,ADA,0.08444
6/30/2020,ADA,0.0847
7/1/2020,ADA,0.09708
7/2/2020,ADA,0.09685
7/3/2020,ADA,0.1021
7/4/2020,ADA,0.10118
7/5/2020,ADA,0.10005
7/6/2020,ADA,0.10676
7/7/2020,ADA,0.11916
7/8/2020,ADA,0.13877
7/9/2020,ADA,0.12993
7/10/2020,ADA,0.12428
7/11/2020,ADA,0.12726
7/12/2020,ADA,0.12849
7/13/2020,ADA,0.136
7/14/2020,ADA,0.135
7/15/2020,ADA,0.13283
7/16/2020,ADA,0.13333
7/17/2020,ADA,0.12671
7/18/2020,ADA,0.12475
7/19/2020,ADA,0.12475
7/20/2020,ADA,0.12431
7/21/2020,ADA,0.12468
7/22/2020,ADA,0.12466
7/23/2020,ADA,0.12607
7/24/2020,ADA,0.12437
7/25/2020,ADA,0.14588
7/26/2020,ADA,0.15464
7/27/2020,ADA,0.14983
7/28/2020,ADA,0.15101
7/29/2020,ADA,0.14998
7/30/2020,ADA,0.1426
7/31/2020,ADA,0.14133
8/1/2020,ADA,0.14691
8/2/2020,ADA,0.1485
8/3/2020,ADA,0.1393
8/4/2020,ADA,0.14825
8/5/2020,ADA,0.14533
8/6/2020,ADA,0.14585
8/7/2020,ADA,0.14746
8/8/2020,ADA,0.14788
8/9/2020,ADA,0.1523
8/10/2020,ADA,0.14653
8/11/2020,ADA,0.1445
8/12/2020,ADA,0.13787
8/13/2020,ADA,0.14212
8/14/2020,ADA,0.14117
8/15/2020,ADA,0.1418
8/16/2020,ADA,0.13961
8/17/2020,ADA,0.14484
8/18/2020,ADA,0.144
8/19/2020,ADA,0.13832
8/20/2020,ADA,0.13453
8/21/2020,ADA,0.13436
8/22/2020,ADA,0.12618
8/23/2020,ADA,0.1259
8/24/2020,ADA,0.12707
8/25/2020,ADA,0.12395
8/26/2020,ADA,0.11819
8/27/2020,ADA,0.11583
8/28/2020,ADA,0.11166
8/29/2020,ADA,0.11796
8/30/2020,ADA,0.11879
8/31/2020,ADA,0.1268
9/1/2020,ADA,0.12812
9/2/2020,ADA,0.12642
9/3/2020,ADA,0.11693
9/4/2020,ADA,0.10399
9/5/2020,ADA,0.10398
9/6/2020,ADA,0.09614
9/7/2020,ADA,0.09421
9/8/2020,ADA,0.09699
9/9/2020,ADA,0.09575
9/10/2020,ADA,0.0995
9/11/2020,ADA,0.09755
9/12/2020,ADA,0.0985
9/13/2020,ADA,0.09981
9/14/2020,ADA,0.09787
9/15/2020,ADA,0.09804
9/16/2020,ADA,0.09334
9/17/2020,ADA,0.09475
9/18/2020,ADA,0.09415
9/19/2020,ADA,0.09325
9/20/2020,ADA,0.09223
9/21/2020,ADA,0.09017
9/22/2020,ADA,0.08335
9/23/2020,ADA,0.0828
9/24/2020,ADA,0.08376
9/25/2020,ADA,0.09867
9/26/2020,ADA,0.09997
9/27/2020,ADA,0.10273
9/28/2020,ADA,0.10671
9/29/2020,ADA,0.1036
9/30/2020,ADA,0.10175
10/1/2020,ADA,0.10465
10/2/2020,ADA,0.1004
10/3/2020,ADA,0.09532
10/4/2020,ADA,0.09804
10/5/2020,ADA,0.09948
10/6/2020,ADA,0.09864
10/7/2020,ADA,0.09449
10/8/2020,ADA,0.09731
10/9/2020,ADA,0.10255
10/10/2020,ADA,0.11151
10/11/2020,ADA,0.10899
10/12/2020,ADA,0.11369
10/13/2020,ADA,0.11428
10/14/2020,ADA,0.11238
10/15/2020,ADA,0.10782
10/16/2020,ADA,0.10733
10/17/2020,ADA,0.10739
10/18/2020,ADA,0.10761
10/19/2020,ADA,0.1111
10/20/2020,ADA,0.10883
10/21/2020,ADA,0.10858
10/22/2020,ADA,0.11279
10/23/2020,ADA,0.11228
10/24/2020,ADA,0.1099
10/25/2020,ADA,0.10879
10/26/2020,ADA,0.1076
10/27/2020,ADA,0.10568
10/28/2020,ADA,0.10331
10/29/2020,ADA,0.10082
10/30/2020,ADA,0.09569
10/31/2020,ADA,0.09555
11/1/2020,ADA,0.09868
11/2/2020,ADA,0.10004
11/3/2020,ADA,0.09417
11/4/2020,ADA,0.09628
11/5/2020,ADA,0.0981
11/6/2020,ADA,0.11
11/7/2020,ADA,0.11387
11/8/2020,ADA,0.10832
11/9/2020,ADA,0.10799
11/10/2020,ADA,0.10915
11/11/2020,ADA,0.1089
11/12/2020,ADA,0.10667
11/13/2020,ADA,0.10798
11/14/2020,ADA,0.1073
11/15/2020,ADA,0.10527
11/16/2020,ADA,0.10499
11/17/2020,ADA,0.11246
11/18/2020,ADA,0.11161
11/19/2020,ADA,0.10816
11/20/2020,ADA,0.119
