date,Asset,Value
4/6/2018,AMC,16.45
4/9/2018,AMC,16.45
4/10/2018,AMC,16.8
4/11/2018,AMC,16.7
4/12/2018,AMC,16.5
4/13/2018,AMC,16.95
4/16/2018,AMC,17.15
4/17/2018,AMC,17.4
4/18/2018,AMC,17.55
4/19/2018,AMC,17.25
4/20/2018,AMC,17
4/23/2018,AMC,17.15
4/24/2018,AMC,17.2
4/25/2018,AMC,17.25
4/26/2018,AMC,17.2
4/27/2018,AMC,17.2
4/30/2018,AMC,17.45
5/1/2018,AMC,16.4
5/2/2018,AMC,16.5
5/3/2018,AMC,16.55
5/4/2018,AMC,16.3
5/7/2018,AMC,17.2
5/8/2018,AMC,16.8
5/9/2018,AMC,16.05
5/10/2018,AMC,16.45
5/11/2018,AMC,16.3
5/14/2018,AMC,16.4
5/15/2018,AMC,16.55
5/16/2018,AMC,16.6
5/17/2018,AMC,16.6
5/18/2018,AMC,16.1
5/21/2018,AMC,16.05
5/22/2018,AMC,15.6
5/23/2018,AMC,15.2
5/24/2018,AMC,15.25
5/25/2018,AMC,15.05
5/29/2018,AMC,14.45
5/30/2018,AMC,14.85
5/31/2018,AMC,14.8
6/1/2018,AMC,14.8
6/4/2018,AMC,14.55
6/5/2018,AMC,14.75
6/6/2018,AMC,14.7
6/7/2018,AMC,14.65
6/8/2018,AMC,14.45
6/11/2018,AMC,14.95
6/12/2018,AMC,15.65
6/13/2018,AMC,15.45
6/14/2018,AMC,15.75
6/15/2018,AMC,15.6
6/18/2018,AMC,16
6/19/2018,AMC,16.25
6/20/2018,AMC,16.6
6/21/2018,AMC,17.2
6/22/2018,AMC,16.6
6/25/2018,AMC,16.5
6/26/2018,AMC,15.85
6/27/2018,AMC,15.6
6/28/2018,AMC,16.15
6/29/2018,AMC,15.9
7/2/2018,AMC,15.75
7/3/2018,AMC,15.85
7/5/2018,AMC,16.8
7/6/2018,AMC,17.3
7/9/2018,AMC,17.15
7/10/2018,AMC,17.35
7/11/2018,AMC,17.4
7/12/2018,AMC,17
7/13/2018,AMC,17.05
7/16/2018,AMC,16.7
7/17/2018,AMC,16.85
7/18/2018,AMC,16.35
7/19/2018,AMC,16.45
7/20/2018,AMC,15.95
7/23/2018,AMC,15.55
7/24/2018,AMC,15.5
7/25/2018,AMC,15.25
7/26/2018,AMC,15.7
7/27/2018,AMC,15.7
7/30/2018,AMC,15.35
7/31/2018,AMC,16.3
8/1/2018,AMC,16.05
8/2/2018,AMC,16.55
8/3/2018,AMC,17.15
8/6/2018,AMC,17.3
8/7/2018,AMC,17.2
8/8/2018,AMC,17.5
8/9/2018,AMC,16.9
8/10/2018,AMC,17.45
8/13/2018,AMC,17.45
8/14/2018,AMC,17.5
8/15/2018,AMC,17.7
8/16/2018,AMC,18.1
8/17/2018,AMC,18.35
8/20/2018,AMC,18.55
8/21/2018,AMC,18.85
8/22/2018,AMC,19
8/23/2018,AMC,19.2
8/24/2018,AMC,19.15
8/27/2018,AMC,18.7
8/28/2018,AMC,19.15
8/29/2018,AMC,18.95
8/30/2018,AMC,18.8
8/31/2018,AMC,19.05
9/4/2018,AMC,19.25
9/5/2018,AMC,19.3
9/6/2018,AMC,19.75
9/7/2018,AMC,19.9
9/10/2018,AMC,19.9
9/11/2018,AMC,19.8
9/12/2018,AMC,20.05
9/13/2018,AMC,20.1
9/14/2018,AMC,19.8
9/17/2018,AMC,19.95
9/18/2018,AMC,20
9/19/2018,AMC,20.65
9/20/2018,AMC,20.75
9/21/2018,AMC,21.35
9/24/2018,AMC,20.4
9/25/2018,AMC,19.9
9/26/2018,AMC,20.15
9/27/2018,AMC,20.45
9/28/2018,AMC,20.5
10/1/2018,AMC,19.86
10/2/2018,AMC,19.76
10/3/2018,AMC,20.09
10/4/2018,AMC,19.97
10/5/2018,AMC,19.7
10/8/2018,AMC,19.6
10/9/2018,AMC,19.61
10/10/2018,AMC,18.75
10/11/2018,AMC,18.41
10/12/2018,AMC,18.86
10/15/2018,AMC,19.27
10/16/2018,AMC,20.15
10/17/2018,AMC,19.81
10/18/2018,AMC,19.64
10/19/2018,AMC,19.81
10/22/2018,AMC,19.8
10/23/2018,AMC,19.7
10/24/2018,AMC,17.83
10/25/2018,AMC,18.71
10/26/2018,AMC,17.83
10/29/2018,AMC,18.72
10/30/2018,AMC,19.24
10/31/2018,AMC,19.26
11/1/2018,AMC,19.24
11/2/2018,AMC,19
11/5/2018,AMC,19.18
11/6/2018,AMC,18.42
11/7/2018,AMC,18.38
11/8/2018,AMC,18.13
11/9/2018,AMC,15.66
11/12/2018,AMC,15.19
11/13/2018,AMC,15.54
11/14/2018,AMC,15.68
11/15/2018,AMC,14.74
11/16/2018,AMC,14.05
11/19/2018,AMC,13.49
11/20/2018,AMC,13.29
11/21/2018,AMC,13.94
11/23/2018,AMC,13.88
11/26/2018,AMC,14.16
11/27/2018,AMC,13.45
11/28/2018,AMC,13.84
11/29/2018,AMC,13.96
11/30/2018,AMC,13.65
12/3/2018,AMC,14.22
12/4/2018,AMC,14.26
12/6/2018,AMC,14.63
12/7/2018,AMC,14.27
12/10/2018,AMC,14.3
12/11/2018,AMC,15.12
12/12/2018,AMC,15.27
12/13/2018,AMC,14.86
12/14/2018,AMC,14.51
12/17/2018,AMC,14.07
12/18/2018,AMC,13.96
12/19/2018,AMC,13.37
12/20/2018,AMC,12.98
12/21/2018,AMC,12.34
12/24/2018,AMC,12.26
12/26/2018,AMC,12.68
12/27/2018,AMC,12.2
12/28/2018,AMC,12.42
12/31/2018,AMC,12.28
1/2/2019,AMC,12.89
1/3/2019,AMC,13.06
1/4/2019,AMC,13.54
1/7/2019,AMC,14.12
1/8/2019,AMC,14.57
1/9/2019,AMC,13.95
1/10/2019,AMC,13.73
1/11/2019,AMC,14.03
1/14/2019,AMC,14.13
1/15/2019,AMC,14.31
1/16/2019,AMC,14.1
1/17/2019,AMC,14.11
1/18/2019,AMC,14.46
1/22/2019,AMC,13.51
1/23/2019,AMC,13.79
1/24/2019,AMC,14.25
1/25/2019,AMC,14.01
1/28/2019,AMC,14.01
1/29/2019,AMC,14.19
1/30/2019,AMC,14.12
1/31/2019,AMC,14.65
2/1/2019,AMC,14.19
2/4/2019,AMC,14.35
2/5/2019,AMC,14.07
2/6/2019,AMC,13.79
2/7/2019,AMC,13.32
2/8/2019,AMC,13.72
2/11/2019,AMC,13.17
2/12/2019,AMC,13.26
2/13/2019,AMC,13.51
2/14/2019,AMC,13.65
2/15/2019,AMC,13.79
2/19/2019,AMC,13.2
2/20/2019,AMC,13.67
2/21/2019,AMC,13.7
2/22/2019,AMC,13.87
2/25/2019,AMC,13.64
2/26/2019,AMC,13.56
2/27/2019,AMC,13.87
2/28/2019,AMC,14.03
3/1/2019,AMC,16
3/4/2019,AMC,15.5
3/5/2019,AMC,15.62
3/6/2019,AMC,15.13
3/7/2019,AMC,14.8
3/8/2019,AMC,14.72
3/11/2019,AMC,14.65
3/12/2019,AMC,14.42
3/13/2019,AMC,14.43
3/14/2019,AMC,14.48
3/15/2019,AMC,14.5
3/18/2019,AMC,15
3/19/2019,AMC,14.75
3/20/2019,AMC,14.96
3/21/2019,AMC,15.42
3/22/2019,AMC,15.06
3/25/2019,AMC,15.3
3/26/2019,AMC,14.94
3/27/2019,AMC,14.84
3/28/2019,AMC,14.77
3/29/2019,AMC,14.85
4/1/2019,AMC,14.99
4/2/2019,AMC,14.78
4/3/2019,AMC,14.61
4/4/2019,AMC,15.01
4/5/2019,AMC,14.98
4/8/2019,AMC,16.31
4/9/2019,AMC,16.15
4/10/2019,AMC,16.15
4/11/2019,AMC,16.12
4/12/2019,AMC,16.43
4/15/2019,AMC,16.5
4/16/2019,AMC,16.59
4/17/2019,AMC,16.59
4/18/2019,AMC,16.05
4/22/2019,AMC,15.26
4/23/2019,AMC,15.25
4/24/2019,AMC,15.44
4/25/2019,AMC,15.3
4/26/2019,AMC,15.4
4/29/2019,AMC,15.5
4/30/2019,AMC,15.16
5/1/2019,AMC,14.71
5/2/2019,AMC,14.7
5/3/2019,AMC,14.59
5/6/2019,AMC,14.87
5/7/2019,AMC,14.97
5/8/2019,AMC,14.65
5/9/2019,AMC,13.63
5/10/2019,AMC,13.82
5/13/2019,AMC,13.29
5/14/2019,AMC,13.5
5/15/2019,AMC,13.58
5/16/2019,AMC,13.4
5/17/2019,AMC,13.13
5/20/2019,AMC,13
5/21/2019,AMC,13.21
5/22/2019,AMC,13.04
5/23/2019,AMC,12.95
5/24/2019,AMC,12.69
5/28/2019,AMC,12.5
5/29/2019,AMC,12.06
5/30/2019,AMC,12.01
5/31/2019,AMC,11.98
6/3/2019,AMC,11.9
6/4/2019,AMC,11.78
6/5/2019,AMC,11.18
6/6/2019,AMC,11.09
6/7/2019,AMC,10.75
6/10/2019,AMC,10.94
6/11/2019,AMC,11.04
6/12/2019,AMC,10.69
6/13/2019,AMC,10.95
6/14/2019,AMC,10.96
6/17/2019,AMC,11.18
6/18/2019,AMC,11.41
6/19/2019,AMC,11.53
6/20/2019,AMC,10.93
6/21/2019,AMC,10.6
6/24/2019,AMC,10.01
6/25/2019,AMC,9.48
6/26/2019,AMC,9.45
6/27/2019,AMC,9.49
6/28/2019,AMC,9.33
7/1/2019,AMC,9.27
7/2/2019,AMC,9.21
7/3/2019,AMC,9.1
7/5/2019,AMC,9.4
7/8/2019,AMC,8.86
7/9/2019,AMC,8.91
7/10/2019,AMC,9.22
7/11/2019,AMC,9.45
7/12/2019,AMC,9.46
7/15/2019,AMC,9.49
7/16/2019,AMC,9.78
7/17/2019,AMC,9.81
7/18/2019,AMC,9.62
7/19/2019,AMC,10.54
7/22/2019,AMC,10.41
7/23/2019,AMC,10.3
7/24/2019,AMC,10.78
7/25/2019,AMC,10.94
7/26/2019,AMC,11.25
7/29/2019,AMC,11.45
7/30/2019,AMC,11.74
7/31/2019,AMC,11.83
8/1/2019,AMC,11.26
8/2/2019,AMC,11.62
8/5/2019,AMC,11.1
8/6/2019,AMC,11.32
8/7/2019,AMC,11.35
8/8/2019,AMC,12.01
8/9/2019,AMC,12.18
8/12/2019,AMC,11.76
8/13/2019,AMC,11.67
8/14/2019,AMC,10.75
8/15/2019,AMC,10.84
8/16/2019,AMC,11.15
8/19/2019,AMC,11.39
8/20/2019,AMC,11.34
8/21/2019,AMC,11.41
8/22/2019,AMC,11.51
8/23/2019,AMC,11.01
8/26/2019,AMC,11.31
8/27/2019,AMC,10.86
8/28/2019,AMC,11.25
8/29/2019,AMC,11.3
8/30/2019,AMC,11.11
9/3/2019,AMC,11.4
9/4/2019,AMC,11.71
9/5/2019,AMC,12.02
9/6/2019,AMC,11.52
9/9/2019,AMC,11.68
9/10/2019,AMC,11.65
9/11/2019,AMC,11.74
9/12/2019,AMC,11.7
9/13/2019,AMC,11.96
9/16/2019,AMC,11.91
9/17/2019,AMC,11.49
9/18/2019,AMC,11.17
9/19/2019,AMC,10.77
9/20/2019,AMC,10.85
9/23/2019,AMC,10.72
9/24/2019,AMC,10.71
9/25/2019,AMC,10.81
9/26/2019,AMC,10.82
9/27/2019,AMC,10.78
