ticker_symbol,day_date,close_value,volume,open_value,high_value,low_value,delta
TSLA,11/29/2017,307.54,8757463,317.3,318,301.23,-3%
AAPL,11/30/2017,171.85,41484540,170.43,172.14,168.44,1%
AMZN,11/30/2017,1176.75,4472454,1167.1,1178.5701,1160,1%
GOOGL,11/30/2017,1036.17,2232482,1039.94,1044.1399,1030.07,0%
GOOG,11/30/2017,1021.41,1723003,1022.37,1028.4899,1015,0%
MSFT,11/30/2017,84.17,32998560,83.51,84.52,83.34,1%
TSLA,11/30/2017,308.85,4345434,308.56,310.7,304.54,0%
AAPL,12/1/2017,171.05,39735110,169.95,171.67,168.5,1%
AMZN,12/1/2017,1162.35,4101175,1172.05,1179.65,1152,-1%
GOOGL,12/1/2017,1025.07,1867088,1030.41,1037.245,1016.9,-1%
GOOG,12/1/2017,1010.17,1908962,1015.8,1022.4897,1002.02,-1%
MSFT,12/1/2017,84.26,29387350,83.6,84.81,83.22,1%
TSLA,12/1/2017,306.53,4286082,305.44,310.32,305.05,0%
AAPL,12/2/2017,171.05,39735110,169.95,171.67,168.5,1%
AMZN,12/2/2017,1162.35,4101175,1172.05,1179.65,1152,-1%
GOOGL,12/2/2017,1025.07,1867088,1030.41,1037.245,1016.9,-1%
GOOG,12/2/2017,1010.17,1908962,1015.8,1022.4897,1002.02,-1%
MSFT,12/2/2017,84.26,29387350,83.6,84.81,83.22,1%
TSLA,12/2/2017,306.53,4286082,305.44,310.32,305.05,0%
AAPL,12/3/2017,171.05,39735110,169.95,171.67,168.5,1%
AMZN,12/3/2017,1162.35,4101175,1172.05,1179.65,1152,-1%
GOOGL,12/3/2017,1025.07,1867088,1030.41,1037.245,1016.9,-1%
GOOG,12/3/2017,1010.17,1908962,1015.8,1022.4897,1002.02,-1%
MSFT,12/3/2017,84.26,29387350,83.6,84.81,83.22,1%
TSLA,12/3/2017,306.53,4286082,305.44,310.32,305.05,0%
AAPL,12/4/2017,169.8,32512580,172.48,172.62,169.63,-2%
AMZN,12/4/2017,1133.95,5926970,1173.85,1175.2,1128,-3%
GOOGL,12/4/2017,1011.87,1938233,1027.8,1031.34,1009.22,-2%
